Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
97108,1,KYN,CSMT,53,24,88.0
97109,1,VVH,KYN,35,14,55.0
97110,1,KYN,DR,44,17,68.0
97111,1,CSMT,KYN,53,24,88.0
97112,1,KYN,CSMT,53,24,87.0
97113,1,CSMT,KYN,53,24,88.0
97114,1,KYN,CSMT,53,24,88.0
97115,1,DR,KYN,44,17,73.0
97116,1,KYN,CLA,37,15,58.0
97117,1,CSMT,KYN,53,24,89.0
97118,1,KYN,TNA,20,8,31.0
97119,1,CSMT,KYN,53,24,88.0
97120,1,KYN,DR,44,17,72.0
97121,1,DR,KYN,44,17,71.0
97122,1,KYN,CSMT,53,24,90.0
97123,1,DR,KYN,44,17,74.0
97124,1,KYN,CSMT,53,24,89.0
97125,1,CSMT,KYN,53,24,88.0
97126,1,KYN,DR,44,17,68.0
97127,1,CSMT,KYN,53,24,88.0
97128,1,KYN,CSMT,53,24,87.0
97129,1,CSMT,KYN,53,24,88.0
97130,1,KYN,TNA,20,8,32.0
97131,1,CLA,KYN,37,15,61.0
97132,1,KYN,DR,44,17,71.0
97133,1,CSMT,KYN,53,24,88.0
97134,1,KYN,DR,44,17,70.0
97135,1,DR,KYN,44,17,70.0
97136,1,KYN,CSMT,53,24,87.0
97137,1,DR,KYN,44,17,72.0
97138,1,KYN,DR,44,17,69.0
97139,1,CSMT,KYN,53,24,89.0
97140,1,KYN,CLA,37,15,60.0
97141,1,DR,KYN,44,17,72.0
97142,1,KYN,CSMT,53,24,91.0
97143,1,DR,KYN,44,17,71.0
97144,1,KYN,CSMT,53,24,88.0
97145,1,DR,KYN,44,17,70.0
97146,1,KYN,CSMT,53,24,89.0
97147,1,CSMT,KYN,53,24,88.0
97148,1,KYN,CLA,37,15,59.0
97149,1,CSMT,KYN,53,24,88.0
97150,1,KYN,TNA,20,8,32.0
97151,1,CSMT,KYN,53,24,89.0
97152,1,KYN,TNA,20,8,31.0
97153,1,CSMT,KYN,53,24,89.0
97155,1,DR,KYN,44,17,69.0
97201,1,CSMT,DI,48,22,78.0
97202,1,DI,CSMT,48,22,79.0
97203,1,CSMT,DI,48,22,78.0
97204,1,DI,CSMT,48,22,81.0
97205,1,CSMT,DI,48,22,78.0
97206,1,DI,CSMT,48,22,80.0
97207,1,CSMT,DI,48,22,78.0
97208,1,DI,CSMT,48,22,81.0
97209,1,CSMT,DI,48,22,78.0
97210,1,DI,CSMT,48,22,81.0
97211,1,CSMT,DI,48,22,77.0
97212,1,DI,DR,39,15,62.0
97213,1,CSMT,DI,48,22,79.0
97214,1,DI,CSMT,48,22,80.0
97215,1,CSMT,DI,48,22,77.0
97216,1,DI,CSMT,48,22,80.0
97217,1,CSMT,DI,48,22,77.0
97218,1,DI,CSMT,48,22,82.0
97219,1,CSMT,DI,48,22,79.0
97220,1,DI,CSMT,48,22,80.0
97221,1,CSMT,DI,48,22,78.0
97222,1,DI,CSMT,48,22,80.0
97223,1,CSMT,DI,48,22,78.0
97224,1,DI,CSMT,48,22,82.0
97225,1,CSMT,DI,48,22,78.0
97226,1,DI,CSMT,48,22,80.0
97227,1,CSMT,DI,48,22,81.0
97228,1,DI,CSMT,48,22,81.0
97229,1,CSMT,DI,48,22,79.0
97230,1,DI,CSMT,48,22,80.0
97231,1,CSMT,DI,48,22,78.0
97232,1,DI,CSMT,48,22,79.0
97233,1,CSMT,DI,48,22,77.0
97234,1,DI,DR,39,15,62.0
97235,1,DR,DI,39,15,62.0
97236,1,DI,CSMT,48,22,79.0
97237,1,DR,DI,39,15,60.0
97238,1,DI,CSMT,48,22,80.0
97239,1,CSMT,DI,48,22,81.0
97240,1,DI,CSMT,48,22,79.0
97241,1,CSMT,DI,48,22,79.0
97242,1,DI,CSMT,48,22,83.0
97243,1,CSMT,DI,48,22,79.0
97244,1,DI,CSMT,48,22,82.0
97245,1,CSMT,DI,48,22,78.0
97246,1,DI,CSMT,48,22,80.0
97247,1,DR,DI,39,15,62.0
97248,1,DI,CSMT,48,22,81.0
97249,1,CSMT,DI,48,22,78.0
97250,1,DI,CSMT,48,22,80.0
97251,1,CSMT,DI,48,22,78.0
97252,1,DI,CSMT,48,22,84.0
97253,1,CSMT,DI,48,22,80.0
97254,1,DI,DR,39,15,61.0
97255,1,CSMT,DI,48,22,78.0
97256,1,DI,CSMT,48,22,81.0
97258,1,DI,CSMT,48,22,81.0
97260,1,DI,DR,39,15,60.0
97301,1,CSMT,TNA,33,17,56.0
97302,1,TNA,CSMT,33,17,56.0
97303,1,CSMT,TNA,33,17,56.0
97304,1,TNA,CSMT,33,17,56.0
97305,1,CSMT,TNA,33,17,56.0
97306,1,TNA,CSMT,33,17,56.0
97307,1,CSMT,TNA,33,17,56.0
97308,1,TNA,CSMT,33,17,56.0
97309,1,CSMT,TNA,33,17,56.0
97310,1,TNA,CSMT,33,17,58.0
97311,1,CSMT,TNA,33,17,56.0
97312,1,TNA,CSMT,33,17,56.0
97313,1,CSMT,TNA,33,17,56.0
97314,1,TNA,CSMT,33,17,58.0
97315,1,CSMT,TNA,33,17,56.0
97316,1,TNA,CSMT,33,17,56.0
97317,1,CSMT,TNA,33,17,56.0
97318,1,TNA,CSMT,33,17,56.0
97319,1,CSMT,TNA,33,17,56.0
97320,1,TNA,CSMT,33,17,56.0
97321,1,CSMT,TNA,33,17,56.0
97322,1,TNA,CSMT,33,17,56.0
97323,1,CSMT,TNA,33,17,58.0
97324,1,TNA,CSMT,33,17,56.0
97325,1,CSMT,TNA,33,17,56.0
97326,1,TNA,CSMT,33,17,56.0
97327,1,CSMT,TNA,33,17,59.0
97328,1,TNA,CSMT,33,17,56.0
97329,1,CSMT,TNA,33,17,56.0
97330,1,TNA,CSMT,33,17,59.0
97331,1,CSMT,TNA,33,17,57.0
97332,1,TNA,CSMT,33,17,58.0
97333,1,CSMT,TNA,33,17,56.0
97334,1,TNA,CSMT,33,17,58.0
97335,1,CSMT,TNA,33,17,56.0
97336,1,TNA,CSMT,33,17,58.0
97337,1,CSMT,TNA,33,17,57.0
97338,1,TNA,CSMT,33,17,57.0
97339,1,CSMT,TNA,33,17,55.0
97340,1,TNA,CSMT,33,17,58.0
97341,1,CSMT,TNA,33,17,55.0
97342,1,TNA,CSMT,33,17,58.0
97343,1,CSMT,TNA,33,17,58.0
97344,1,TNA,CSMT,33,17,58.0
97345,1,CSMT,TNA,33,17,57.0
97346,1,TNA,CSMT,33,17,58.0
97347,1,CSMT,TNA,33,17,60.0
97348,1,TNA,CSMT,33,17,60.0
97349,1,CSMT,TNA,33,17,56.0
97350,1,TNA,CSMT,33,17,59.0
97351,1,CSMT,TNA,33,17,56.0
97352,1,TNA,CSMT,33,17,58.0
97353,1,CSMT,TNA,33,17,55.0
97354,1,TNA,CSMT,33,17,58.0
97355,1,CSMT,TNA,33,17,56.0
97356,1,TNA,CSMT,33,17,58.0
97357,1,CSMT,TNA,33,17,56.0
97358,1,TNA,CSMT,33,17,58.0
97359,1,CSMT,TNA,33,17,56.0
97360,1,TNA,CSMT,33,17,58.0
97361,1,CSMT,TNA,33,17,60.0
97362,1,TNA,CSMT,33,17,59.0
97363,1,CSMT,TNA,33,17,56.0
97364,1,TNA,CSMT,33,17,58.0
97365,1,CSMT,TNA,33,17,56.0
97366,1,TNA,CSMT,33,17,58.0
97367,1,CSMT,TNA,33,17,56.0
97368,1,TNA,CSMT,33,17,58.0
97369,1,CSMT,TNA,33,17,55.0
97370,1,TNA,CSMT,33,17,59.0
97371,1,CSMT,TNA,33,17,56.0
97372,1,TNA,CSMT,33,17,58.0
97373,1,CSMT,TNA,33,17,57.0
97374,1,TNA,CSMT,33,17,58.0
97375,1,DR,TNA,24,10,38.0
97376,1,TNA,CSMT,33,17,58.0
97377,1,CSMT,TNA,33,17,56.0
97378,1,TNA,CSMT,33,17,59.0
97379,1,CSMT,TNA,33,17,56.0
97380,1,TNA,CSMT,33,17,58.0
97381,1,CSMT,TNA,33,17,56.0
97382,1,TNA,CSMT,33,17,57.0
97383,1,CSMT,TNA,33,17,57.0
